date,channelGrouping,sessions
2014-02-12,Paid Search,36
2014-02-12,Referral,39
2014-02-12,Social,103
2014-02-13,(Other),3
2014-02-13,Direct,62
2014-02-13,Display,91
2014-02-13,Organic Search,131
2014-02-13,Paid Search,30
2014-02-13,Referral,56
2014-02-13,Social,95
2014-02-14,(Other),1
2014-02-14,Direct,38
2014-02-14,Display,76
2014-02-14,Organic Search,111
2014-02-14,Paid Search,33
2014-02-14,Referral,46
2014-02-14,Social,56
2014-02-15,Direct,24
2014-02-15,Display,53
2014-02-15,Organic Search,62
2014-02-15,Paid Search,28
2014-02-15,Referral,21
2014-02-15,Social,27
2014-02-16,(Other),1
2014-02-16,Direct,24
2014-02-16,Display,36
2014-02-16,Organic Search,69
2014-02-16,Paid Search,20
2014-02-16,Referral,20
2014-02-16,Social,19
2014-02-17,Direct,54
2014-02-17,Display,87
2014-02-17,Organic Search,111
2014-02-17,Paid Search,24
2014-02-17,Referral,31
2014-02-17,Social,34
2014-02-18,(Other),2
2014-02-18,Direct,34
2014-02-18,Display,90
2014-02-18,Organic Search,106
2014-02-18,Paid Search,34
2014-02-18,Referral,32
2014-02-18,Social,35
2014-02-19,(Other),1
2014-02-19,Direct,47
2014-02-19,Display,105
2014-02-19,Organic Search,123
2014-02-19,Paid Search,45
2014-02-19,Referral,57
2014-02-19,Social,34
2014-02-20,(Other),1
2014-02-20,Direct,25
2014-02-20,Display,88
2014-02-20,Organic Search,108
2014-02-20,Paid Search,51
2014-02-20,Referral,54
2014-02-20,Social,23
2014-02-21,Direct,50
2014-02-21,Display,49
2014-02-21,Organic Search,90
2014-02-21,Paid Search,37
2014-02-21,Referral,38
2014-02-21,Social,20
2014-02-22,Direct,31
2014-02-22,Display,50
2014-02-22,Organic Search,35
2014-02-22,Paid Search,18
2014-02-22,Referral,6
2014-02-22,Social,8
2014-02-23,Direct,30
2014-02-23,Display,35
2014-02-23,Organic Search,46
2014-02-23,Paid Search,27
2014-02-23,Referral,12
2014-02-23,Social,7
2014-02-24,(Other),1
2014-02-24,Direct,35
2014-02-24,Display,77
2014-02-24,Organic Search,111
2014-02-24,Paid Search,44
2014-02-24,Referral,40
2014-02-24,Social,29
2014-02-25,(Other),2
2014-02-25,Direct,46
2014-02-25,Display,123
2014-02-25,Organic Search,128
2014-02-25,Paid Search,30
2014-02-25,Referral,33
2014-02-25,Social,20
2014-02-26,(Other),3
2014-02-26,Direct,36
2014-02-26,Display,103
2014-02-26,Organic Search,115
2014-02-26,Paid Search,66
2014-02-26,Referral,57
2014-02-26,Social,21
2014-02-27,(Other),3
2014-02-27,Direct,42
2014-02-27,Display,82
2014-02-27,Organic Search,112
2014-02-27,Paid Search,54
2014-02-27,Referral,42
2014-02-27,Social,80
2014-02-28,(Other),13
2014-02-28,Direct,43
2014-02-28,Display,94
2014-02-28,Organic Search,65
2014-02-28,Paid Search,59
2014-02-28,Referral,32
2014-02-28,Social,25
2014-03-01,(Other),3
2014-03-01,Direct,25
2014-03-01,Display,50
2014-03-01,Organic Search,40
2014-03-01,Paid Search,26
2014-03-01,Referral,17
2014-03-01,Social,12
2014-03-02,Direct,17
2014-03-02,Display,45
2014-03-02,Organic Search,46
2014-03-02,Paid Search,25
2014-03-02,Referral,9
2014-03-02,Social,7
2014-03-03,(Other),16
2014-03-03,Direct,37
2014-03-03,Display,107
2014-03-03,Organic Search,113
2014-03-03,Paid Search,50
2014-03-03,Referral,23
2014-03-03,Social,22
2014-03-04,(Other),7
2014-03-04,Direct,43
2014-03-04,Display,120
2014-03-04,Organic Search,111
2014-03-04,Paid Search,46
2014-03-04,Referral,25
2014-03-04,Social,18
2014-03-05,(Other),3
2014-03-05,Direct,72
2014-03-05,Display,95
2014-03-05,Organic Search,111
2014-03-05,Paid Search,49
2014-03-05,Referral,43
2014-03-05,Social,133
2014-03-06,(Other),2
2014-03-06,Direct,65
2014-03-06,Display,90
2014-03-06,Organic Search,105
2014-03-06,Paid Search,42
2014-03-06,Referral,44
2014-03-06,Social,134
2014-03-07,Direct,42
2014-03-07,Display,68
2014-03-07,Organic Search,105
2014-03-07,Paid Search,24
2014-03-07,Referral,22
2014-03-07,Social,30
2014-03-08,Direct,20
2014-03-08,Display,44
2014-03-08,Organic Search,40
2014-03-08,Paid Search,16
2014-03-08,Referral,12
2014-03-08,Social,27
2014-03-09,(Other),1
2014-03-09,Direct,28
2014-03-09,Display,39
2014-03-09,Organic Search,41
2014-03-09,Paid Search,18
2014-03-09,Referral,19
2014-03-09,Social,10
2014-03-10,(Other),4
2014-03-10,Direct,45
2014-03-10,Display,82
2014-03-10,Organic Search,118
2014-03-10,Paid Search,35
2014-03-10,Referral,33
2014-03-10,Social,42
2014-03-11,(Other),1
2014-03-11,Direct,78
2014-03-11,Display,97
2014-03-11,Organic Search,154
2014-03-11,Paid Search,29
2014-03-11,Referral,24
2014-03-11,Social,38
2014-03-12,(Other),1
2014-03-12,Direct,42
2014-03-12,Display,156
2014-03-12,Organic Search,93
2014-03-12,Paid Search,41
2014-03-12,Referral,29
2014-03-12,Social,23
2014-03-13,Direct,53
2014-03-13,Display,113
2014-03-13,Organic Search,109
2014-03-13,Paid Search,38
2014-03-13,Referral,26
2014-03-13,Social,44
2014-03-14,(Other),1
2014-03-14,Direct,38
2014-03-14,Display,68
2014-03-14,Organic Search,100
2014-03-14,Paid Search,27
2014-03-14,Referral,22
2014-03-14,Social,36
2014-03-15,(Other),2
2014-03-15,Direct,33
2014-03-15,Display,39
2014-03-15,Organic Search,43
2014-03-15,Paid Search,25
2014-03-15,Referral,16
2014-03-15,Social,15
2014-03-16,Direct,19
2014-03-16,Display,52
2014-03-16,Organic Search,39
2014-03-16,Paid Search,15
2014-03-16,Referral,9
2014-03-16,Social,12
2014-03-17,(Other),1
2014-03-17,Direct,49
2014-03-17,Display,94
2014-03-17,Organic Search,131
2014-03-17,Paid Search,48
2014-03-17,Referral,24
2014-03-17,Social,34
2014-03-18,Direct,63
2014-03-18,Display,130
2014-03-18,Organic Search,121
2014-03-18,Paid Search,40
2014-03-18,Referral,43
2014-03-18,Social,42
2014-03-19,(Other),1
2014-03-19,Direct,44
2014-03-19,Display,131
2014-03-19,Organic Search,129
2014-03-19,Paid Search,44
2014-03-19,Referral,27
2014-03-19,Social,57
2014-03-20,(Other),1
2014-03-20,Direct,49
2014-03-20,Display,103
2014-03-20,Organic Search,117
2014-03-20,Paid Search,35
2014-03-20,Referral,36
2014-03-20,Social,33
2014-03-21,Direct,43
2014-03-21,Display,65
2014-03-21,Organic Search,79
2014-03-21,Paid Search,34
2014-03-21,Referral,26
2014-03-21,Social,21
2014-03-22,Direct,24
2014-03-22,Display,52
2014-03-22,Organic Search,38
2014-03-22,Paid Search,21
2014-03-22,Referral,21
2014-03-22,Social,49
2014-03-23,(Other),1
2014-03-23,Direct,16
2014-03-23,Display,42
2014-03-23,Organic Search,40
2014-03-23,Paid Search,19
2014-03-23,Referral,12
2014-03-23,Social,15
2014-03-24,Direct,34
2014-03-24,Display,102
2014-03-24,Organic Search,103
2014-03-24,Paid Search,48
2014-03-24,Referral,14
2014-03-24,Social,19
2014-03-25,Direct,39
2014-03-25,Display,96
2014-03-25,Organic Search,93
2014-03-25,Paid Search,50
2014-03-25,Referral,19
2014-03-25,Social,14
2014-03-26,Direct,31
2014-03-26,Display,84
2014-03-26,Organic Search,92
2014-03-26,Paid Search,28
2014-03-26,Referral,25
2014-03-26,Social,13
2014-03-27,(Other),13
2014-03-27,Direct,147
2014-03-27,Display,90
2014-03-27,Organic Search,106
2014-03-27,Paid Search,36
2014-03-27,Referral,28
2014-03-27,Social,178
2014-03-28,(Other),13
2014-03-28,Direct,48
2014-03-28,Display,64
2014-03-28,Organic Search,81
2014-03-28,Paid Search,22
2014-03-28,Referral,20
2014-03-28,Social,48
2014-03-29,(Other),3
2014-03-29,Direct,34
2014-03-29,Display,44
2014-03-29,Organic Search,56
2014-03-29,Paid Search,33
2014-03-29,Referral,10
2014-03-29,Social,10
2014-03-30,(Other),1
2014-03-30,Direct,14
2014-03-30,Display,42
2014-03-30,Organic Search,47
2014-03-30,Paid Search,32
2014-03-30,Referral,12
2014-03-30,Social,10
2014-03-31,(Other),1
2014-03-31,Direct,36
2014-03-31,Display,101
2014-03-31,Organic Search,98
2014-03-31,Paid Search,29
2014-03-31,Referral,17
2014-03-31,Social,21
2014-04-01,Direct,43
2014-04-01,Display,92
2014-04-01,Organic Search,97
2014-04-01,Paid Search,21
2014-04-01,Referral,19
2014-04-01,Social,74
2014-04-02,(Other),1
2014-04-02,Direct,53
2014-04-02,Display,76
2014-04-02,Organic Search,92
2014-04-02,Paid Search,19
2014-04-02,Referral,15
2014-04-02,Social,78
2014-04-03,Direct,31
2014-04-03,Display,68
2014-04-03,Organic Search,95
2014-04-03,Paid Search,19
2014-04-03,Referral,30
2014-04-03,Social,27
2014-04-04,Direct,38
2014-04-04,Display,47
2014-04-04,Organic Search,66
2014-04-04,Paid Search,22
2014-04-04,Referral,21
2014-04-04,Social,30
2014-04-05,(Other),1
2014-04-05,Direct,14
2014-04-05,Display,35
2014-04-05,Organic Search,43
2014-04-05,Paid Search,6
2014-04-05,Referral,12
2014-04-05,Social,7
2014-04-06,(Other),1
2014-04-06,Direct,26
2014-04-06,Display,35
2014-04-06,Organic Search,37
2014-04-06,Paid Search,9
2014-04-06,Referral,8
2014-04-06,Social,7
2014-04-07,(Other),3
2014-04-07,Direct,73
2014-04-07,Display,97
2014-04-07,Organic Search,125
2014-04-07,Paid Search,26
2014-04-07,Referral,27
2014-04-07,Social,256
2014-04-08,(Other),1
2014-04-08,Direct,94
2014-04-08,Display,87
2014-04-08,Organic Search,109
2014-04-08,Paid Search,24
2014-04-08,Referral,26
2014-04-08,Social,131
2014-04-09,(Other),1
2014-04-09,Direct,53
2014-04-09,Display,68
2014-04-09,Organic Search,85
2014-04-09,Paid Search,21
2014-04-09,Referral,14
2014-04-09,Social,70
2014-04-10,Direct,47
2014-04-10,Display,101
2014-04-10,Organic Search,88
2014-04-10,Paid Search,22
2014-04-10,Referral,16
2014-04-10,Social,44
2014-04-11,Direct,50
2014-04-11,Display,45
2014-04-11,Organic Search,85
2014-04-11,Paid Search,8
2014-04-11,Referral,9
2014-04-11,Social,31
2014-04-12,Direct,24
2014-04-12,Display,22
2014-04-12,Organic Search,24
2014-04-12,Paid Search,4
2014-04-12,Referral,3
2014-04-12,Social,15
2014-04-13,Direct,20
2014-04-13,Display,25
2014-04-13,Organic Search,39
2014-04-13,Paid Search,12
2014-04-13,Referral,7
2014-04-13,Social,28
2014-04-14,(Other),1
2014-04-14,Direct,30
2014-04-14,Display,65
2014-04-14,Organic Search,76
2014-04-14,Paid Search,13
2014-04-14,Referral,9
2014-04-14,Social,15
2014-04-15,Direct,21
