date,campaign,impressions,adClicks,adCost,cpc
2016-09-05,AND - MASTER - ANALITICA WEB,8.0,0.0,0.0,0.0
2016-09-05,AND - MASTER - MARKETING ONLINE,1.0,1.0,3.35,3.35
2016-09-05,AND - MASTER - SEO y SEM,29.0,1.0,2.88,2.88
2016-09-05,BCN - MASTER - ANALITICA WEB,18.0,1.0,2.03,2.03
2016-09-05,BCN - MASTER - MARKETING ONLINE,9.0,1.0,21.24,21.24
2016-09-05,BCN - MASTER - SEO y SEM,15.0,2.0,16.62,8.31
2016-09-05,BCN - MASTER - UX,20.0,2.0,10.83,5.415
2016-09-05,MAD - CURSO - APACHE FLINK,6.0,0.0,0.0,0.0
2016-09-05,MAD - CURSO - ESTADISTICA,1.0,1.0,1.14,1.14
2016-09-05,MAD - CURSO - HADOOP & SPARK,104.0,0.0,0.0,0.0
2016-09-05,MAD - CURSO - MK CONTENIDO PERIODISTAS,28.0,0.0,0.0,0.0
2016-09-05,MAD - CURSO - OPEN STACK,69.0,0.0,0.0,0.0
2016-09-05,MAD - CURSO - PROGRAMACION,2.0,1.0,1.18,1.18
2016-09-05,MAD - CURSO - R,23.0,1.0,1.0,1.0
2016-09-05,MAD - CURSO - SOLUCIONES NEGOCIO,14.0,1.0,0.22,0.22
2016-09-05,MAD - MASTER - ANALITICA WEB,20.0,2.0,13.79,6.895
2016-09-05,MAD - MASTER - BIG DATA,13.0,1.0,4.76,4.76
2016-09-05,MAD - MASTER - DATA SCIENCE,6.0,1.0,0.69,0.69
2016-09-05,MAD - MASTER - MARKETING ONLINE,15.0,0.0,0.0,0.0
2016-09-05,MAD - MASTER - SEO y SEM,26.0,1.0,5.73,5.73
2016-09-05,MAD - MASTER - UX,23.0,3.0,11.92,3.9733333333333336
2016-09-05,NAC - MASTER - ANALITICA WEB,14.0,1.0,1.6,1.6
2016-09-05,NAC - MASTER - BIG DATA,24.0,1.0,19.23,19.23
2016-09-05,NAC - MASTER - DATA SCIENCE,14.0,2.0,23.13,11.565
2016-09-05,NAC - MASTER - MARKETING ONLINE,13.0,1.0,7.56,7.56
2016-09-05,NAC - MASTER - SEO y SEM,15.0,0.0,0.0,0.0
2016-09-05,NAC - MASTER - UX,13.0,0.0,0.0,0.0
2016-09-05,VAL - MASTER - SEO y SEM,22.0,2.0,4.39,2.195
2016-09-06,0 - MARCA,61.0,19.0,3.62,0.19052631578947368
2016-09-06,0 - MARCA BCN,5.0,1.0,0.45,0.45
2016-09-06,ALI - MASTER - MARKETING ONLINE,3.0,1.0,6.2,6.2
2016-09-06,AND - MASTER - ANALITICA WEB,10.0,1.0,2.68,2.68
2016-09-06,AND - MASTER - MARKETING ONLINE,17.0,0.0,0.0,0.0
2016-09-06,AND - MASTER - SEO y SEM,52.0,1.0,1.59,1.59
2016-09-06,BCN - MASTER - ANALITICA WEB,3.0,1.0,15.5,15.5
2016-09-06,BCN - MASTER - MARKETING ONLINE,13.0,0.0,0.0,0.0
2016-09-06,BCN - MASTER - SEO y SEM,11.0,2.0,23.95,11.975
2016-09-06,BCN - MASTER - UX,20.0,1.0,1.99,1.99
2016-09-06,MAD - CURSO - APACHE FLINK,10.0,0.0,0.0,0.0
2016-09-06,MAD - CURSO - ESTADISTICA,59.0,0.0,0.0,0.0
2016-09-06,MAD - CURSO - HADOOP & SPARK,102.0,0.0,0.0,0.0
2016-09-06,MAD - CURSO - MK CONTENIDO PERIODISTAS,24.0,3.0,7.95,2.65
2016-09-06,MAD - CURSO - OPEN STACK,28.0,1.0,1.08,1.08
2016-09-06,MAD - CURSO - PROGRAMACION,19.0,2.0,1.2,0.6
2016-09-06,MAD - CURSO - R,21.0,1.0,1.07,1.07
2016-09-06,MAD - CURSO - SOLUCIONES NEGOCIO,15.0,0.0,0.0,0.0
2016-09-06,MAD - MASTER - ANALITICA WEB,15.0,1.0,1.8,1.8
2016-09-06,MAD - MASTER - BIG DATA,51.0,1.0,20.86,20.86
2016-09-06,MAD - MASTER - DATA SCIENCE,6.0,2.0,23.69,11.845
2016-09-06,MAD - MASTER - MARKETING ONLINE,14.0,0.0,0.0,0.0
2016-09-06,MAD - MASTER - SEO y SEM,10.0,0.0,0.0,0.0
2016-09-06,MAD - MASTER - UX,46.0,1.0,2.83,2.83
2016-09-06,NAC - MASTER - ANALITICA WEB,10.0,0.0,0.0,0.0
2016-09-06,NAC - MASTER - BIG DATA,45.0,1.0,3.0,3.0
2016-09-06,NAC - MASTER - DATA SCIENCE,1.0,0.0,0.0,0.0
2016-09-06,NAC - MASTER - MARKETING ONLINE,20.0,2.0,25.28,12.64
2016-09-06,NAC - MASTER - SEO y SEM,11.0,0.0,0.0,0.0
2016-09-06,NAC - MASTER - UX,47.0,2.0,17.92,8.96
2016-09-06,VAL - MASTER - SEO y SEM,60.0,0.0,0.0,0.0
2016-09-07,0 - MARCA,28.0,6.0,2.2,0.3666666666666667
2016-09-07,0 - MARCA BCN,6.0,1.0,0.01,0.01
2016-09-07,ALI - MASTER - MARKETING ONLINE,10.0,0.0,0.0,0.0
2016-09-07,AND - MASTER - ANALITICA WEB,23.0,0.0,0.0,0.0
