date,ciudad,programa,nombre,users,newUsers,bounces,impressions,adClicks,adCost,cpc,ctr
2017-01-21,MAD,MASTER,ANALITICA WEB,1.0,1.0,1.0,38.0,1.0,12.83,12.83,0.03
2017-01-21,MAD,MASTER,BIG DATA,3.0,3.0,2.0,15.0,3.0,49.27,16.423333333333336,0.2
2017-01-21,MAD,MASTER,DATA SCIENCE,3.0,2.0,3.0,19.0,3.0,63.66,21.22,0.16
2017-01-21,MAD,MASTER,SEO y SEM,3.0,2.0,2.0,52.0,3.0,12.06,4.02,0.06
2017-01-21,MAD,MASTER,UX,2.0,2.0,1.0,24.0,3.0,12.04,4.013333333333334,0.12
2017-01-21,NAC,MASTER,MARKETING ONLINE,1.0,1.0,1.0,22.0,1.0,23.05,23.05,0.05
2017-01-21,NAC,MASTER,SEO y SEM,2.0,2.0,1.0,56.0,2.0,7.99,3.995,0.04
2017-01-21,NAC,MASTER,UX,1.0,1.0,1.0,41.0,1.0,2.36,2.36,0.02
2017-01-22,ALI,MASTER,MARKETING ONLINE,3.0,3.0,2.0,19.0,2.0,7.0,3.5,0.11
2017-01-22,BCN,MASTER,ANALITICA WEB,1.0,1.0,1.0,14.0,1.0,5.45,5.45,0.07
2017-01-22,BCN,MASTER,MARKETING ONLINE,1.0,1.0,1.0,6.0,1.0,8.4,8.4,0.17
2017-01-22,BCN,MASTER,SEO y SEM,1.0,1.0,0.0,36.0,1.0,8.31,8.31,0.03
2017-01-22,BCN,MASTER,UX,1.0,1.0,1.0,17.0,1.0,4.02,4.02,0.06
2017-01-22,MAD,CURSO,ESTADISTICA,2.0,2.0,0.0,31.0,2.0,4.98,2.49,0.06
2017-01-22,MAD,CURSO,PROGRAMACION,2.0,2.0,0.0,72.0,2.0,14.46,7.23,0.03
2017-01-22,MAD,CURSO,SOLUCIONES NEGOCIO,1.0,1.0,0.0,4.0,1.0,2.51,2.51,0.25
2017-01-22,MAD,MASTER,BIG DATA,2.0,1.0,0.0,18.0,2.0,52.04,26.02,0.11
2017-01-22,MAD,MASTER,DATA SCIENCE,1.0,1.0,2.0,9.0,2.0,57.96,28.98,0.22
2017-01-22,MAD,MASTER,SEO y SEM,5.0,3.0,4.0,38.0,4.0,16.46,4.115,0.11
2017-01-22,MAD,MASTER,UX,3.0,3.0,3.0,72.0,4.0,7.85,1.9625,0.06
2017-01-22,NAC,MASTER,ANALITICA WEB,1.0,1.0,0.0,6.0,2.0,25.8,12.9,0.33
2017-01-22,NAC,MASTER,BIG DATA,1.0,1.0,1.0,18.0,1.0,10.45,10.45,0.06
2017-01-22,NAC,MASTER,MARKETING ONLINE,1.0,1.0,1.0,27.0,1.0,27.11,27.11,0.04
2017-01-22,NAC,MASTER,SEO y SEM,1.0,1.0,0.0,58.0,1.0,6.4,6.4,0.02
2017-01-22,NAC,MASTER,UX,2.0,2.0,2.0,125.0,3.0,6.55,2.1833333333333336,0.02
2017-01-23,BCN,MASTER,ANALITICA WEB,1.0,1.0,1.0,24.0,1.0,8.2,8.2,0.04
2017-01-23,BCN,MASTER,MARKETING ONLINE,1.0,1.0,1.0,52.0,1.0,6.17,6.17,0.02
2017-01-23,BCN,MASTER,SEO y SEM,1.0,1.0,1.0,56.0,1.0,8.33,8.33,0.02
2017-01-23,BCN,MASTER,UX,2.0,2.0,1.0,35.0,2.0,5.4,2.7,0.06
2017-01-23,MAD,CURSO,ESTADISTICA,4.0,4.0,3.0,84.0,5.0,6.59,1.318,0.06
2017-01-23,MAD,CURSO,PROGRAMACION,2.0,2.0,2.0,39.0,2.0,15.18,7.59,0.05
