path,total_conversions,total_conversion_value
Email Newsletter > Directo > Directo > Directo > Directo > Directo > Directo > Directo,12,893
Email Newsletter > Directo > Recuperación del Carrito,12,830
Email Newsletter > Orgánico Home > Directo > Directo,12,955.5
Orgánico No Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,12,900
Orgánico No Home > Referencia > Referencia,12,959
SEM Marca > SEM Marca > Directo,11,1024.5
SEM Marca > SEM Marca > Orgánico No Home,11,565.5
SEM Marca > Email Newsletter,11,1236
Directo > Directo > Directo > Directo > Directo > Recuperación del Carrito,11,689
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,11,751
Directo > Referencia > Referencia,11,694
Directo > SEM Marca,11,1393
Directo > Social Orgánico,11,945.5
Directo > Orgánico No Home > Directo > Directo > Directo > Directo,11,746.5
Recuperación del Carrito > Directo,11,1050
Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,11,765
Orgánico Home > SEM Marca > Orgánico Home > Directo,11,809
Orgánico Home > Orgánico Home,11,1217
Orgánico Home > Email Newsletter > Directo,11,718.5
Email Newsletter > Directo > Orgánico Home > Directo,11,957
Email Newsletter > Directo > Email Newsletter > Email Newsletter,11,683.5
Email Newsletter > Email Newsletter > Directo > Email Newsletter > Directo,11,779
Email Newsletter > Email Newsletter > Email Newsletter > Directo > Directo,11,823
Orgánico No Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,11,1016
Orgánico No Home > Recuperación del Carrito,11,742
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,10,883
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,10,971
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,10,646
Directo > Directo > Email Newsletter > Directo,10,612
Directo > SEM Marca > Directo,10,886.5
Orgánico Home > SEM Marca > Orgánico Home,10,560.5
Email Newsletter > Directo > Email Newsletter > Directo,10,723
Email Newsletter > Email Newsletter > Directo > Email Newsletter,10,584.5
Email Newsletter > Email Newsletter > Orgánico Home > Directo,10,1085.8
Email Newsletter > Email Newsletter > Email Newsletter > Email Newsletter > Directo,10,827
SEM Marca > Directo > Directo > Orgánico Home,9,617
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,9,625
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Referencia,9,632
Directo > Directo > Directo > Orgánico No Home > Directo,9,372.5
Directo > Directo > Orgánico No Home > Directo,9,448
Directo > SEM Marca > Directo > Directo,9,585.5
Directo > Email Newsletter > Directo > Directo > Directo,9,518
Directo > Email Newsletter > Email Newsletter,9,974
Directo > Social Orgánico > Directo > Directo > Directo > Directo > Social Orgánico > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,9,779
Orgánico Home > Referencia > Orgánico Home,9,647.5
Orgánico Home > Social Orgánico > Directo,9,915
Email Newsletter > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,9,560
Email Newsletter > Directo > Directo > Email Newsletter,9,905
Email Newsletter > Directo > Orgánico Home,9,2585
Email Newsletter > Email Newsletter > Directo > Directo > Directo > Directo,9,531
Orgánico No Home > Directo > Directo > Referencia,9,713
SEM Marca > SEM Marca > SEM Marca > Orgánico Home > Directo > Directo,8,591.5
SEM Marca > SEM Marca > Orgánico No Home > Directo > Directo,8,584
SEM Marca > Orgánico No Home > Directo > Directo > Directo > Directo,8,566
Referencia > Directo > Directo > Directo,8,398.5
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,8,1003
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,8,917
